watershed,site,date,time,adj_wtr_ht,level_flag
fool,fc2,2020-08-18,04:40,173,In Range
fool,fc2,2020-08-18,04:50,173,In Range
fool,fc2,2020-08-18,05:00,173,In Range
fool,fc2,2020-08-18,05:10,173,In Range
fool,fc2,2020-08-18,05:20,173,In Range
fool,fc2,2020-08-18,05:30,173,In Range
fool,fc2,2020-08-18,05:40,173,In Range
fool,fc2,2020-08-18,05:50,173,In Range
fool,fc2,2020-08-18,06:00,173,In Range
fool,fc2,2020-08-18,06:10,173,In Range
fool,fc2,2020-08-18,06:20,173,In Range
fool,fc2,2020-08-18,06:30,173,In Range
fool,fc2,2020-08-18,06:40,173,In Range
fool,fc2,2020-08-18,06:50,173,In Range
fool,fc2,2020-08-18,07:00,173,In Range
fool,fc2,2020-08-18,07:10,173,In Range
fool,fc2,2020-08-18,07:20,173,In Range
fool,fc2,2020-08-18,07:30,173,In Range
fool,fc2,2020-08-18,07:40,173,In Range
fool,fc2,2020-08-18,07:50,173,In Range
fool,fc2,2020-08-18,08:00,173,In Range
fool,fc2,2020-08-18,08:10,173,In Range
fool,fc2,2020-08-18,08:20,173,In Range
fool,fc2,2020-08-18,08:30,173,In Range
fool,fc2,2020-08-18,08:40,173,In Range
fool,fc2,2020-08-18,08:50,173,In Range
fool,fc2,2020-08-18,09:00,173,In Range
fool,fc2,2020-08-18,09:10,173,In Range
fool,fc2,2020-08-18,09:20,173,In Range
fool,fc2,2020-08-18,09:30,173,In Range
fool,fc2,2020-08-18,09:40,173,In Range
fool,fc2,2020-08-18,09:50,173,In Range
fool,fc2,2020-08-18,10:00,173,In Range
fool,fc2,2020-08-18,10:10,173,In Range
fool,fc2,2020-08-18,10:20,173,In Range
fool,fc2,2020-08-18,10:30,173,In Range
